auction_date,settlement_date,maturity_date,term_days,term_bucket,series,isin,total_bids_chf_mn,bids_no_price_chf_mn,issue_volume_chf_mn,bid_cover,price,yield_pct
2012-01-03,2012-01-05,2012-04-05,91,91d,3.7947,CH0036179478,833.8,187.35,725.55,1.1492,100.101,-0.399157
2012-01-10,2012-01-12,2013-01-10,364,364d,A.7948,CH0036179486,2668.75,12.75,512.75,5.2048,100.254,-0.250572
2012-01-17,2012-01-19,2012-04-19,91,91d,3.7949,CH0036179494,1668.95,135.2,561.7,2.9712,100.059,-0.233269
2012-01-24,2012-01-26,2012-04-26,91,91d,3.795,CH0036179502,1007.65,11.25,1004.65,1.003,100.0,0.0
2012-01-31,2012-02-02,2012-05-03,91,91d,3.7951,CH0036179510,5702.0,25.55,1160.9,4.9117,100.013,-0.051422
2012-02-07,2012-02-09,2012-05-10,91,91d,3.7952,CH0036179528,4908.45,71.75,1414.15,3.471,100.025,-0.098876
2012-02-14,2012-02-16,2012-05-18,92,91d,3.7953,CH0036179536,4192.8,36.0,1142.8,3.6689,100.013,-0.050863
2012-02-21,2012-02-23,2012-08-23,182,182d,6.7954,CH0036179544,4037.7,18.4,2512.0,1.6074,100.05,-0.098852
2012-02-28,2012-03-01,2012-05-31,91,91d,3.7955,CH0036179551,3659.05,214.8,803.05,4.5564,100.025,-0.098876
2012-03-06,2012-03-08,2012-06-07,91,91d,3.7956,CH0036179569,6190.45,45.2,837.1,7.3951,100.025,-0.098876
2012-03-13,2012-03-15,2012-06-14,91,91d,3.7957,CH0036179577,3537.8,104.15,953.95,3.7086,100.025,-0.098876
2012-03-20,2012-03-22,2012-06-21,91,91d,3.7958,CH0036179585,4052.35,122.7,791.35,5.1208,100.025,-0.098876
2012-03-27,2012-03-29,2012-06-28,91,91d,3.7959,CH0036179593,5518.9,141.05,1135.9,4.8586,100.025,-0.098876
2012-04-03,2012-04-05,2012-07-05,91,91d,3.796,CH0036179601,4274.15,9.35,521.15,8.2014,100.025,-0.098876
2012-04-10,2012-04-12,2012-10-11,182,182d,6.7961,CH0036179619,5442.25,210.2,710.2,7.663,100.127,-0.25089
2012-04-17,2012-04-19,2012-07-19,91,91d,3.7962,CH0036179627,4077.55,111.05,699.55,5.8288,100.051,-0.201655
2012-04-24,2012-04-26,2012-07-26,91,91d,3.7963,CH0036179635,6586.4,20.15,922.5,7.1397,100.04,-0.158178
2012-04-30,2012-05-03,2012-08-02,91,91d,3.7964,CH0036179643,1407.25,6.85,788.35,1.7851,100.04,-0.158178
2012-05-08,2012-05-10,2012-08-09,91,91d,3.7965,CH0036179650,4362.8,2.8,1043.9,4.1793,100.041,-0.162131
2012-05-15,2012-05-18,2012-08-16,90,91d,3.7966,CH0036179668,4352.8,2.5,1344.9,3.2365,100.05,-0.1999
2012-05-22,2012-05-24,2012-11-22,182,182d,6.7967,CH0036179676,3597.45,216.6,732.7,4.9099,100.161,-0.31795
2012-05-29,2012-05-31,2012-08-30,91,91d,3.7968,CH0036179684,4159.15,18.05,688.8,6.0383,100.157,-0.620125
2012-06-05,2012-06-07,2012-09-06,91,91d,3.7969,CH0036179692,4079.85,222.05,755.6,5.3995,100.19,-0.750223
2012-06-12,2012-06-14,2012-09-13,91,91d,3.7970,CH0036179700,3892.1,96.6,761.3,5.1124,100.2,-0.78963
2012-06-19,2012-06-21,2012-09-20,91,91d,3.7971,CH0036179718,3447.35,204.05,804.0,4.2877,100.2,-0.78963
2012-06-26,2012-06-28,2012-09-27,91,91d,3.7972,CH0036179726,3639.6,174.25,790.7,4.603,100.215,-0.848725
2012-07-03,2012-07-05,2012-10-04,91,91d,3.7973,CH0036179734,3608.9,74.35,595.0,6.0654,100.213,-0.840846
2012-07-10,2012-07-12,2013-07-11,364,364d,A.7974,CH0036179742,1713.55,204.3,358.2,4.7838,100.51,-0.501836
2012-07-17,2012-07-19,2012-10-18,91,91d,3.7975,CH0036179759,2054.55,72.05,475.55,4.3204,100.177,-0.698983
2012-07-24,2012-07-26,2012-10-25,91,91d,3.7976,CH0036179767,2430.5,24.2,688.45,3.5304,100.152,-0.6
2012-07-31,2012-08-02,2012-11-01,91,91d,3.7977,CH0036179775,3189.7,39.75,661.15,4.8245,100.156,-0.616
2012-08-07,2012-08-09,2012-11-08,91,91d,3.7978,CH0036179783,2923.45,48.2,699.9,4.177,100.15,-0.593
2012-08-14,2012-08-16,2012-11-15,91,91d,3.7979,CH0036179791,3462.65,11.3,789.1,4.3881,100.14,-0.553
2012-08-21,2012-08-23,2013-02-21,182,182d,6.7980,CH0036179809,4555.9,6.35,760.9,5.9875,100.203,-0.401
2012-08-28,2012-08-30,2012-11-29,91,91d,3.7981,CH0036179817,2852.85,35.2,952.3,2.9957,100.089,-0.352
2012-09-04,2012-09-06,2012-12-06,91,91d,3.7982,CH0036179825,2847.55,54.2,784.0,3.6321,100.101,-0.399
2012-09-11,2012-09-13,2012-12-13,91,91d,3.7983,CH0036179833,3874.6,56.05,931.05,4.1615,100.076,-0.3
2012-09-18,2012-09-20,2012-12-20,91,91d,3.7984,CH0036179841,4299.1,84.5,765.25,5.6179,100.056,-0.221
2012-09-25,2012-09-27,2012-12-27,91,91d,3.7985,CH0036179858,3856.6,88.85,747.75,5.1576,100.056,-0.221
2012-10-02,2012-10-04,2013-01-03,91,91d,3.7986,CH0036179866,3012.2,84.65,748.65,4.0235,100.056,-0.221
2012-10-09,2012-10-11,2013-04-11,182,182d,6.7987,CH0036179867,2822.9,2.6,817.9,3.4514,100.08,-0.158
2012-10-16,2012-10-18,2013-01-17,91,91d,3.7988,CH0036179882,4213.9,26.4,790.9,5.328,100.056,-0.221
2012-10-23,2012-10-25,2013-01-24,91,91d,3.7989,CH0036179890,4888.85,23.3,850.3,5.7496,100.058,-0.229
2012-10-30,2012-11-01,2013-01-31,91,91d,3.7990,CH0036179908,3589.5,26.85,790.95,4.5382,100.056,-0.221
2012-11-06,2012-11-08,2013-02-07,91,91d,3.7991,CH0036179916,3167.15,19.9,802.6,3.9461,100.043,-0.17
2012-11-13,2012-11-15,2013-02-14,91,91d,3.7992,CH0036179924,4504.05,67.0,694.5,6.4853,100.056,-0.221
2012-11-20,2012-11-22,2013-05-23,182,182d,6.7993,CH0036179932,4751.0,19.25,881.0,5.3927,100.09,-0.177862
2012-11-27,2012-11-29,2013-02-28,91,91d,3.7994,CH0036179940,3548.55,42.35,974.55,3.6412,100.05,-0.197703
2012-12-04,2012-12-06,2013-03-07,91,91d,3.7995,CH0036179957,5303.65,32.65,1174.65,4.5151,100.076,-0.3
2012-12-11,2012-12-13,2013-03-14,91,91d,3.7996,CH0036179965,2767.55,29.55,799.55,3.4614,100.061,-0.241
2012-12-18,2012-12-20,2012-03-21,91,91d,3.7997,CH0036179973,2550.7,89.15,1047.7,2.4346,100.035,-0.138
2012-12-24,2012-12-27,2012-03-28,91,91d,3.7998,CH0036179981,3265.8,113.1,1000.8,3.2632,100.055,-0.217
2012-12-31,2013-01-03,2013-04-04,91,91d,3.7999,CH0036179999,3702.45,115.45,1037.45,3.5688,100.055,-0.217
2013-01-08,2013-01-10,2014-01-09,364,364d,A.8000,CH0036180005,4458.1,8.1,1188.1,3.7523,100.152,-0.15
2013-01-15,2013-01-17,2013-04-18,91,91d,3.8001,CH0036180013,4485.65,32.15,997.65,4.4962,100.025,-0.099
2013-01-22,2013-01-24,2013-04-25,91,91d,3.8002,CH0036180021,5281.95,6.45,978.95,5.3955,100.026,-0.10283
2013-01-29,2013-01-31,2013-05-02,91,91d,3.8003,CH0036180039,3814.2,8.45,771.2,4.9458,100.022,-0.087014
2013-02-05,2013-02-07,2013-05-10,92,91d,3.8004,CH0036180047,4781.8,202.3,938.8,5.0935,100.023,-0.09
2013-02-12,2013-02-14,2013-05-16,91,91d,3.8005,CH0036180054,5622.0,1.5,1239.0,4.5375,100.023,-0.091
2013-02-19,2013-02-21,2013-08-22,182,182d,6.8006,CH0036180062,5028.75,22.7,813.75,6.1797,100.039,-0.077113
2013-02-26,2013-02-28,2013-05-30,91,91d,3.8007,CH0036180070,4442.15,16.65,1159.15,3.8322,100.026,-0.103
2013-03-05,2013-03-07,2013-06-06,91,91d,3.8008,CH0036180088,6212.7,49.65,854.7,7.2689,100.026,-0.103
